category,description,date,title
POLITIQUE,"Le président du Rassemblement national, qui ne sera pas candidat aux élections législatives des 12 et 19 juin, a rendu hommage à Jeanne d’Arc, dimanche 1er mai.",2022-05-01 16:52:07 +0200,Jordan Bardella promet d’ouvrir les législatives « aux gens de l’extérieur »
POLITIQUE,L’élue de la troisième circonscription de l’Hérault conteste les faits qui lui sont reprochés.,2022-05-01 18:46:44 +0200,"La députée LRM Coralie Dubost, épinglée pour ses avances de frais, annonce arrêter la politique"
POLITIQUE,"A l’occasion de la Journée internationale des travailleurs, les syndicats souhaitent notamment se faire entendre sur l’âge légal de départ à la retraite et la hausse des salaires. Des milliers de manifestants défilent dans toute la France.",2022-05-01 18:55:58 +0200,"1er-Mai, en direct : cortège dense à Paris, heurts et dégradation en marge de la manifestation"
POLITIQUE,"L’affaire porte sur l’attribution d’un marché public dans le secteur du traitement des déchets. L’ancien sénateur LR est entendu dans le cadre d’une information judiciaire ouverte pour favoritisme, corruption, prise illégale d’intérêts et entente illicite.",2022-05-31 17:57:17 +0200,"Philippe Marini, maire de Compiègne, en garde à vue dans un dossier de corruption"
POLITIQUE,"La maire socialiste de la capitale, largement battue à l’élection présidentielle en avril, a été attaquée par la droite, mardi, lors de la première séance du conseil municipal.",2022-05-31 18:21:20 +0200,La rentrée chahutée d’Anne Hidalgo au Conseil de Paris
POLITIQUE,"Selon le président, le système de santé doit faire l’objet d’une « vraie révolution collective ». Le professeur François Braun, président de SAMU-Urgences de France, devra remettre ses conclusions « au plus tard le 1er juillet » à la ministre de la santé.",2022-05-31 21:57:31 +0200,Hôpital : Emmanuel Macron lance une « mission flash » sur les difficultés des services d’urgences
POLITIQUE,"Seul candidat en lice, le nouveau leader de la droite pro-européenne doit relancer un parti en perte de vitesse après de lourdes défaites en France et en Allemagne.",2022-06-01 00:54:18 +0200,L’Allemand Manfred Weber élu à la tête du Parti populaire européen
POLITIQUE,"L’ancienne éminence grise de Nicolas Sarkozy a connu l’épreuve de la détention, à Paris, et peine de plus en plus à sortir de ses multiples ennuis, judiciaires et financiers. Rencontre avec celui qui, à 77 ans, jure toujours de son honnêteté.",2022-06-01 01:13:12 +0200,"« J’étais l’homme le plus puissant de France » : Claude Guéant, « le Cardinal » déchu"
POLITIQUE,"Forgée dans l’après-guerre par les néofascistes italiens, l’expression, qui fleure bon les années 1930, définit désormais les formations situées à la droite du parti Les Républicains.",2022-06-01 01:23:02 +0200,"Histoire d’une notion : la « droite nationale », cet éternel euphémisme de l’extrême droite"
POLITIQUE,Le chef de l’Etat a annoncé le lancement d’une « mission flash » d’un mois. Mais il a reconnu que cela ne résoudra pas le « problème structurel » de manque de personnel.,2022-06-01 01:52:33 +0200,"A Cherbourg, Emmanuel Macron revient sur le terrain pour tenter d’endiguer la crise des urgences"
POLITIQUE,Des milliers de postes sont à pourvoir pour la rentrée de septembre. Les porte-parole syndicaux s’interrogent sur la feuille de route de la Rue de Grenelle.,2022-06-01 02:05:16 +0200,"Pap Ndiaye, nouveau ministre de l’éducation, face au défi du recrutement des enseignants"
POLITIQUE,"L’unique député du département rural, prolifique à l’Assemblée nationale et omniprésent sur le terrain, a été investi par la droite mais se flatte d’être courtisé par les macronistes.",2022-06-01 03:16:14 +0200,Législatives 2022 : Pierre Morel-A-L’Huissier brigue un cinquième mandat en Lozère et craint le « dégagisme »
POLITIQUE,"Il fut, en 1999, le premier président du gouvernement de Nouvelle-Calédonie dont il défendait ardemment le maintien dans la France.",2022-06-01 05:18:12 +0200,"Jean Lèques, ancien maire de Nouméa, est mort à 90 ans"
POLITIQUE,"Après avoir défendu un report de l’âge légal à 65 ans pendant la présidentielle, l’exécutif a peu à peu revu à la baisse son projet et repoussé le calendrier des négociations, au risque d’inquiéter l’aile droite de la majorité.",2022-06-01 10:34:13 +0200,Emmanuel Macron temporise sur la réforme des retraites
POLITIQUE,"Les organisations syndicales, unies contre l’idée de repousser l’âge d’ouverture des droits à une pension, se félicitent que l’exécutif repousse le calendrier des négociations.",2022-06-01 10:34:23 +0200,"Réforme des retraites : pour les syndicats, les urgences sont ailleurs"
POLITIQUE,"Le secrétaire général propose d’être remplacé, en 2023, par Marie Buisson, secrétaire générale de la fédération éducation, recherche et culture.",2022-06-01 10:39:36 +0200,Philippe Martinez ne brigue pas de nouveau mandat à la tête de la CGT
POLITIQUE,"Candidat aux législatives à Paris, l’ancien président de groupe LRM à l’Assemblée nationale se défend de tout harcèlement, qualifiant ces suspicions de « rumeur » ayant déjà fait l’objet de « vérifications nécessaires ».",2022-06-01 11:13:17 +0200,Gilles Le Gendre accusé de « harcèlement sexuel et moral » dans un signalement fait par Rachida Dati
POLITIQUE,"Le ministre de l’intérieur et la ministre des sports, Amélie Oudéa-Castéra, sont auditionnés conjointement par les commissions des lois et de la culture du Sénat.",2022-06-01 11:29:50 +0200,"Incidents au Stade de France : « Il est évident que les choses auraient pu être mieux organisées », reconnaît Gérald Darmanin devant le Sénat"
POLITIQUE,La grille du ministère de l’intérieur ne reflète pas les équilibres et coalitions politiques de la campagne électorale. Nous avons donc choisi de l’affiner.,2022-06-01 11:37:28 +0200,Comment « Le Monde » attribue les nuances politiques aux candidats pour les législatives 2022
POLITIQUE,"L’économiste Philippe Askenazy rappelle, dans sa chronique au « Monde », que le règlement du Palais Bourbon confie la présidence de sa commission des finances au principal groupe de l’opposition.",2022-06-01 16:00:17 +0200,Législatives : « La commission des finances de l’Assemblée est un enjeu de contrôle du pouvoir et de visibilité pour son futur président »
POLITIQUE,"Les critiques contre le gouvernement se multiplient depuis la finale de la Ligue des champions, samedi. Emmanuel Macron a demandé, lors du conseil des ministres mercredi, « la transparence, la lumière sur les faits ».",2022-06-01 16:51:25 +0200,Incidents au Stade de France : l’opposition met en doute les chiffres annoncés par Gérald Darmanin avant l’audition du ministre au Sénat
POLITIQUE,"Après un appel à témoignages lancé par « Le Monde », les électeurs de gauche nous ont fait part de leurs espoirs et de leurs craintes après la coalition à gauche.",2022-06-01 17:04:17 +0200,"Législatives 2022 : « Si la Nupes avait la majorité, ce serait génial ! » Les électeurs de gauche retrouvent espoir après l’accord électoral"
POLITIQUE,"La ministre de la transition écologique est de nouveau candidate dans la 6e circonscription, qu’elle avait conquise en 2017. Ses adversaires ne manquent pas de rappeler qu’elle s’est éloignée du département, en entrant au gouvernement en 2019.",2022-06-01 18:40:07 +0200,"Dans l’Essonne, Amélie de Montchalin revendique une « campagne de terrain » aux législatives 2022"
POLITIQUE,Retrouvez les portraits des principaux nouveaux élus le 19 juin 2022 à l’Assemblée nationale.,2022-07-01 16:34:18 +0200,Les profils des nouveaux députés de l’Assemblée nationale
POLITIQUE,"NOUVEAUX DÉPUTÉS. Jean-François Rousset, fidèle soutien d’Emmanuel Macron, a remporté la 3e circonscription de l’Aveyron, fief de la droite depuis 1956 laissé vacant par Les Républicains depuis juillet 2021.",2022-07-01 16:36:40 +0200,"Assemblée nationale : Jean-François Rousset, un ancien chirurgien dans l’Hémicycle ​​"
POLITIQUE,"NOUVEAUX DÉPUTÉS. Transfuge de LR, investi par Ensemble !, le sexagénaire a empêché le parti lepéniste de faire le grand chelem dans le Var.",2022-07-01 16:38:31 +0200,"Assemblée nationale : Yannick Chenevard, dernière digue anti-RN dans le Var"
POLITIQUE,"NOUVEAUX DÉPUTÉS. Cette membre active d’Europe Ecologie-Les Verts, qui était jusqu’alors deuxième adjointe à la maire de Nantes, a été élue pour la Nupes dans la 4e circonscription de Loire-Atlantique.",2022-07-01 16:39:45 +0200,"Assemblée nationale : Julie Laernoes, une écologiste franco-néerlandaise au Palais-Bourbon"
POLITIQUE,"NOUVEAUX DÉPUTÉS. Elu dans la 1re circonscription de la Haute-Vienne pour la Nupes, le jeune homme avait été, pendant deux ans, le collaborateur parlementaire du député de la Somme.",2022-07-01 16:40:41 +0200,"Assemblée nationale : Damien Maudet, un proche de François Ruffin, rejoint l’Hémicycle"
POLITIQUE,"NOUVEAUX DÉPUTÉS. Elu confortablement dans la 9ᵉ circonscription du Rhône, le nouveau député Les Républicains, professeur de philosophie, est un proche de Laurent Wauquiez.",2022-07-01 16:41:48 +0200,"Assemblée nationale : Alexandre Portier, partisan d’une « droite populaire »"
POLITIQUE,"NOUVEAUX DÉPUTÉS. A 35 ans, cette avocate, fille d’un instituteur et d’une femme de ménage, a renversé, pour la Nupes, le candidat Les Républicains, soutenu par le puissant maire de Saint-Pierre.",2022-07-01 16:44:04 +0200,"Assemblée nationale : Emeline K/Bidi, la trajectoire « au mérite » de cette élue de La Réunion"
POLITIQUE,"La nouvelle députée de la 4e circonscription du Doubs, qui admet ne « pas rentrer dans les cases », rejette les accusations de racisme.",2022-07-01 16:45:07 +0200,"Assemblée nationale : Géraldine Grangier, élue RN dans le fief ouvrier et berceau de Peugeot"
POLITIQUE,"Le professeur des écoles est un des élus les plus actifs sur Internet de Besançon, où il siège dans l’opposition municipale, « parce qu’il faut rendre compte ».",2022-07-01 16:47:26 +0200,"Assemblée nationale : Laurent Croizier, un élu Ensemble ! adepte de la transparence"
POLITIQUE,"NOUVEAUX DÉPUTÉS. Ce cadre dans la fonction publique, âgé de 44 ans, enfant d’ouvriers italiens, a été élu dans la 1re circonscription d’Ille-et-Vilaine.",2022-07-01 16:48:13 +0200,"Assemblée nationale : Frédéric Mathieu, un spécialiste de la défense sur les bancs des « insoumis »"
POLITIQUE,"Elu pour la Nupes-PS dans la 8ᵉ circonscription d’Ille-et-Vilaine, ce salarié d’Orange, maire de la commune du Rheu, a éliminé le puissant député macroniste sortant.",2022-07-01 16:49:41 +0200,"Mickaël Bouloux, l’ingénieur qui a battu le questeur Florian Bachelier"
POLITIQUE,"NOUVEAUX DÉPUTÉS. Elu dans la 7ᵉ circonscription de l’île, cet « insoumis » investi par la Nupes, originaire de Rouen, a subi des attaques « anti-métropolitain » de la part de ses adversaires et n’a pas été soutenu par Jean-Luc Mélenchon.",2022-07-01 16:51:21 +0200,"Assemblée nationale : Perceval Gaillard, le député « réunionnais pas né à La Réunion »"
POLITIQUE,"NOUVEAUX DÉPUTÉS. L’ancienne porte-parole de l’ONG Les Amis de la Terre, élue LFI-Nupes, assure qu’elle sera « une députée activiste ».",2022-07-01 16:52:57 +0200,"Assemblée nationale : Alma Dufour, élue LFI en guerre contre les entrepôts de commerce en ligne"
POLITIQUE,Le jeune député PS-Nupes de la 2e circonscription du Calvados vient d’une famille d’instituteurs « socialiste et écolo ».,2022-07-01 16:54:00 +0200,"Assemblée nationale : Arthur Delaporte, produit de la méritocratie républicaine"
POLITIQUE,NOUVEAUX DÉPUTÉS. Son élection comme député de la 1re circonscription de la Gironde est une revanche pour celui qui fut battu aux élections municipales de Bordeaux en 2020.,2022-07-01 16:58:19 +0200,"Assemblée nationale : Thomas Cazenave, le bon élève bordelais de La République en marche"
POLITIQUE,"NOUVEAUX DÉPUTÉS. La retraitée, qui a toujours adhéré aux idées du parti d’extrême droite, a battu la coalition présidentielle dans le nord de la Charente.",2022-07-01 16:59:23 +0200,"Assemblée nationale : Caroline Colombier, une militante du Front national à l’Assemblée nationale"
POLITIQUE,Soixante-dix-neuf dissidents socialistes ont été suspendus par le Parti socialiste avant d’éventuelles exclusions. Une décision politique complexe à mettre en œuvre.,2022-07-01 17:00:08 +0200,"Au Parti socialiste, la direction a commencé la grande lessive"
POLITIQUE,"NOUVEAUX DÉPUTÉS. Troisième plus jeune député de l’Assemblée nationale, il a battu assez nettement la candidate de la Nupes dans la 15e circonscription du Nord, où il partait pourtant en quasi-inconnu.",2022-07-01 17:00:13 +0200,"Assemblée nationale : Pierrick Berteloot, le marin emblématique de la nouvelle vague du RN"
